key,value
exported_at,2026-05-16T15:38:22.410Z
energy_setting,355.000000
classical_mode,brownian
gamma_internal,21.000000
gamma_displayed,20.000000
instrument_sigma,5.000000
energy_units,hbar^2 / (2 m L^2)
position_units,L (box length)
n_position_bins,80.000000
n_energy_bins,100.000000
energy_axis_max,400.000000
n_eigenstates_included,6.000000
classical_measurements,40000.000000
classical_mean_x,0.501172
classical_mean_E,355.021615
quantum_position_measurements,40000.000000
quantum_energy_measurements,40000.000000
quantum_mean_x,0.498819
quantum_mean_E,352.816103

eigenstate_n,energy_E_n
1,9.869604
2,39.478418
3,88.826440
4,157.913670
5,246.740110
6,355.305758

type,panel,bin_index,bin_center,density
energy,quantum,67,270.000000,0.000000
energy,classical,68,274.000000,0.000000
energy,quantum,68,274.000000,0.000000
energy,classical,69,278.000000,0.000000
energy,quantum,69,278.000000,0.000000
energy,classical,70,282.000000,0.000000
energy,quantum,70,282.000000,0.000000
energy,classical,71,286.000000,0.000000
energy,quantum,71,286.000000,0.000000
energy,classical,72,290.000000,0.000000
energy,quantum,72,290.000000,0.000000
energy,classical,73,294.000000,0.000000
energy,quantum,73,294.000000,0.000000
energy,classical,74,298.000000,0.000000
energy,quantum,74,298.000000,0.000000
energy,classical,75,302.000000,0.000000
energy,quantum,75,302.000000,0.000000
energy,classical,76,306.000000,0.000000
energy,quantum,76,306.000000,0.000000
energy,classical,77,310.000000,0.000000
energy,quantum,77,310.000000,0.000000
energy,classical,78,314.000000,0.000000
energy,quantum,78,314.000000,0.000000
energy,classical,79,318.000000,0.000000
energy,quantum,79,318.000000,0.000000
energy,classical,80,322.000000,0.000000
energy,quantum,80,322.000000,0.000000
energy,classical,81,326.000000,0.000000
energy,quantum,81,326.000000,0.000000
energy,classical,82,330.000000,0.000000
energy,quantum,82,330.000000,0.000000
energy,classical,83,334.000000,0.000031
energy,quantum,83,334.000000,0.000019
energy,classical,84,338.000000,0.000262
energy,quantum,84,338.000000,0.000262
energy,classical,85,342.000000,0.003031
energy,quantum,85,342.000000,0.002456
energy,classical,86,346.000000,0.016969
energy,quantum,86,346.000000,0.014525
energy,classical,87,350.000000,0.048519
energy,quantum,87,350.000000,0.045669
energy,classical,88,354.000000,0.075344
energy,quantum,88,354.000000,0.074081
energy,classical,89,358.000000,0.065719
energy,quantum,89,358.000000,0.066719
energy,classical,90,362.000000,0.031019
energy,quantum,90,362.000000,0.032425
energy,classical,91,366.000000,0.007781
energy,quantum,91,366.000000,0.008775
energy,classical,92,370.000000,0.001225
energy,quantum,92,370.000000,0.001288
energy,classical,93,374.000000,0.000100
energy,quantum,93,374.000000,0.000144
energy,classical,94,378.000000,0.000000
energy,quantum,94,378.000000,0.000000
energy,classical,95,382.000000,0.000000
energy,quantum,95,382.000000,0.000000
energy,classical,96,386.000000,0.000000
energy,quantum,96,386.000000,0.000000
energy,classical,97,390.000000,0.000000
energy,quantum,97,390.000000,0.000000
energy,classical,98,394.000000,0.000000
energy,quantum,98,394.000000,0.000000
energy,classical,99,398.000000,0.000000
energy,quantum,99,398.000000,0.000000
